variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
temperature_inside,burst,7,0,cvoi_sf,error_trigger,0.004548586981700253,0.06949270326615703,0.02719282653105598,0.09266954954803586
temperature_inside,burst,7,1,cvoi_sf,error_trigger,0.0052319434792680135,0.06949270326615706,0.012152101631717316,0.12607473249305956
temperature_inside,burst,8,0,cvoi_sf,error_trigger,0.014283020616168637,0.1853138753764188,0.03422502078702641,0.09328669125179401
temperature_inside,burst,8,1,cvoi_sf,error_trigger,0.0111489518183924,0.16214964095436646,0.026841591906664825,0.1305204531233829
temperature_inside,burst,9,0,cvoi_sf,error_trigger,0.016358061153578875,0.2316423442205235,0.024487749950286547,0.08872560876843127
temperature_inside,burst,9,1,cvoi_sf,error_trigger,0.003851546212647673,0.046328468844104714,0.019893903351606734,0.13085673291910782
temperature_inside,burst,10,0,cvoi_sf,error_trigger,-0.0023865763261524155,-0.1389854065323141,0.03528406993518576,0.09688544198646776
temperature_inside,burst,10,1,cvoi_sf,error_trigger,2.593236043548809e-05,0.0,0.019446983289317654,0.12441407407037475
temperature_inside,burst,11,0,cvoi_sf,error_trigger,0.000382070882557331,-0.04632846884410469,0.03048146086767467,0.10699324011486955
temperature_inside,burst,11,1,cvoi_sf,error_trigger,-0.00033051887885105456,-0.04632846884410469,0.014698392382524628,0.12709999569263197
temperature_inside,burst,12,0,cvoi_sf,error_trigger,0.014626401436182539,0.16214964095436646,0.02855331066076855,0.09984357704565272
temperature_inside,burst,12,1,cvoi_sf,error_trigger,0.003852148482742644,0.0,0.027825044187718362,0.1302194226910388
temperature_inside,burst,13,0,cvoi_sf,error_trigger,0.012541255501505673,0.13898540653231412,0.027948324713726158,0.09242771902145464
temperature_inside,burst,13,1,cvoi_sf,error_trigger,-0.00552036715311559,-0.11582117211026177,0.03291353179015388,0.13193946771093923
temperature_inside,burst,14,0,cvoi_sf,error_trigger,0.0031760945100764437,0.0,0.031001838413401123,0.08405873824738952
temperature_inside,burst,14,1,cvoi_sf,error_trigger,0.004197949965253647,0.04632846884410469,0.01882912161833261,0.11729193257668846
temperature_inside,burst,15,0,cvoi_sf,error_trigger,0.007677275886031967,0.11582117211026172,0.01972825581490556,0.0950639709552662
temperature_inside,burst,15,1,cvoi_sf,error_trigger,0.01219300440120454,0.1853138753764188,0.02521239752491844,0.13465546602048728
temperature_inside,burst,16,0,cvoi_sf,error_trigger,0.002810945100764413,0.04632846884410469,0.021150202611485425,0.09311682538628208
temperature_inside,burst,16,1,cvoi_sf,error_trigger,0.0017716006485985654,0.0,0.02598886658939431,0.12402907563141807
temperature_inside,burst,17,0,cvoi_sf,error_trigger,0.010448065786425764,0.11582117211026174,0.018114981996395385,0.09894543823966673
temperature_inside,burst,17,1,cvoi_sf,error_trigger,0.006639327078990037,0.0926569376882094,0.02785916386871437,0.1333710386932846
temperature_inside,burst,18,0,cvoi_sf,error_trigger,0.011516301829974523,0.16214964095436646,0.025925112444429466,0.08897752111348567
temperature_inside,burst,18,1,cvoi_sf,error_trigger,0.008376806810284923,0.11582117211026183,0.02490022203065459,0.11970521504388498
temperature_inside,burst,19,0,cvoi_sf,error_trigger,0.006629470697243452,0.0,0.02014916776097847,0.08896863841266789
temperature_inside,burst,19,1,cvoi_sf,error_trigger,0.012548002084781101,0.1389854065323141,0.02637519036367686,0.1269798981331578
