window,t,loop,p_gaussian,p_empirical,true_violation,mu,xt,age
1,5843,1,0.5919600261633909,0.8640198511166253,1.0,21.409376231999598,21.0,6
1,5843,2,0.5395891646028417,0.8635235732009926,1.0,21.757709777650152,21.0,22
1,5844,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5844,1,0.5827015566076205,0.8640198511166253,0.0,21.448399163295218,22.0,7
1,5844,2,0.5379369683124099,0.8635235732009926,1.0,21.78365797433544,21.0,23
1,5845,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5845,1,0.46772322354703166,0.12009925558312655,1.0,22.133993220605667,21.0,0
1,5845,2,0.5364449798978059,0.8635235732009926,1.0,21.809387796832915,21.0,24
1,5846,0,0.6551441642633133,0.8803970223325062,1.0,21.25594723949594,21.0,2
1,5846,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
1,5846,2,0.5350988763327942,0.8635235732009926,1.0,21.834901082930628,21.0,25
1,5847,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5847,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
1,5847,2,0.533885715934805,0.8635235732009926,1.0,21.86019965495022,21.0,26
1,5848,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5848,1,0.6455842286154154,0.8640198511166253,1.0,21.249863620067675,21.0,2
1,5848,2,0.5327937880285193,0.8635235732009926,1.0,21.88528531987709,21.0,27
1,5849,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5849,1,0.6287544015451382,0.8640198511166253,1.0,21.290260851814555,21.0,3
1,5849,2,0.5318124817702014,0.8168734491315136,1.0,21.91015986948945,21.0,28
1,5850,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5850,1,0.6146169115107065,0.8640198511166253,0.0,21.33031003626193,22.0,4
1,5850,2,0.5309321711054131,0.7632754342431762,1.0,21.934825080486306,21.0,29
1,5851,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5851,1,0.46772322354703166,0.12009925558312655,0.0,22.133993220605667,22.0,0
